,Rating,Rating,Rating,Rating,Rating,Rating,Rating,Rating,Rating,Rating,Rating,Rating,Rating,Rating,Rating,Rating,Rating,Rating,Rating,Rating
Cluster,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
MovieID,,,,,,,,,,,,,,,,,,,,
1,3.29,4.07,3.88,3.58,1.83,,3.64,4.79,2.38,,,2.5,3.95,2.08,,4.03,4.25,4.56,3.86,4.45
2,2.83,3.5,3.38,3.11,4.0,,2.0,5.0,2.0,,,2.75,3.46,3.38,,3.58,3.93,3.8,3.0,3.67
3,2.33,4.0,,3.04,2.5,,4.5,4.4,1.5,,,3.0,3.0,2.0,,3.75,3.0,3.38,2.0,3.5
4,1.5,,1.0,2.0,2.0,,,3.0,,,,,3.25,1.0,,3.0,,3.0,3.0,3.0
5,2.7,3.4,3.0,2.8,3.17,,,4.33,2.75,,,3.0,3.4,,,3.5,4.12,3.5,3.12,3.25
6,3.75,3.67,4.12,3.62,5.0,,4.0,4.17,3.5,,,3.0,3.27,3.75,,4.06,4.5,4.5,3.67,3.5
7,2.33,3.5,3.0,3.34,1.0,,4.0,4.0,,,,3.0,3.19,3.5,,3.4,,4.4,2.83,4.0
8,,,,,,,,5.0,,,,,,1.0,,4.5,,4.0,,
9,,5.0,3.0,3.25,4.0,,,3.5,,,,3.0,2.5,,,3.0,,3.0,,
10,3.0,4.06,3.38,3.41,3.6,,3.5,4.08,2.67,,,,3.38,3.5,,3.7,3.44,4.12,2.75,3.0
11,3.5,4.0,4.17,3.44,2.5,,,5.0,2.5,,,,3.62,3.5,,4.07,3.75,3.7,3.67,4.0
12,2.0,,,3.17,1.0,,,3.25,,,,,3.33,,,3.0,,,1.0,
13,2.5,5.0,5.0,3.0,,,,4.5,,,,,4.25,,,3.0,,,,
14,4.0,,3.0,2.94,3.0,,4.0,3.0,2.5,,,4.0,5.0,3.5,,3.6,3.67,4.0,4.0,
15,2.5,,,2.88,,,1.0,,,,,,1.5,,,,2.5,,,
16,3.5,4.14,4.33,4.04,3.0,,4.33,4.62,3.5,,,2.5,3.55,3.5,,4.11,4.0,4.0,4.75,
17,3.35,4.67,4.0,4.22,3.0,,4.0,4.4,3.0,,,,3.17,4.5,,4.0,4.5,3.5,4.08,4.62
18,2.38,4.0,,3.5,,,,,2.5,,,,3.67,5.0,,3.12,4.0,3.0,1.0,
19,2.19,3.0,3.0,2.21,2.88,,,4.0,1.88,,,3.0,2.56,4.0,,2.44,3.08,3.36,1.75,3.0
20,2.5,4.0,,3.0,,,1.0,5.0,2.5,,,,1.5,,,1.25,4.0,,2.0,
21,2.78,3.0,3.0,3.43,3.83,,4.5,5.0,3.75,,,4.0,3.15,4.14,,3.86,4.43,3.5,3.25,3.33
22,2.83,3.0,3.5,3.06,,,1.0,3.5,2.5,,,,3.5,4.0,,3.33,4.0,4.5,4.0,4.0
23,3.0,4.25,,3.2,2.5,,,3.5,,,,,1.5,,,2.75,3.5,4.0,,
24,2.12,3.5,2.67,2.31,,,4.0,4.5,1.5,,,2.0,4.17,3.0,,4.0,4.75,4.0,3.0,3.5
25,3.25,3.5,2.5,3.86,2.67,,4.0,4.5,3.0,,,5.0,3.59,4.1,,3.56,3.46,3.75,4.4,4.75
26,,,5.0,4.0,,,,5.0,,,,,3.25,,,,,,,
27,2.75,,,,,,,,,,,,,,,3.0,4.0,,,4.0
28,3.0,5.0,,4.2,,,,,,,,4.0,4.5,4.0,,4.0,4.5,,5.0,4.0
29,3.75,5.0,3.0,3.83,3.25,,,5.0,3.0,,,,4.14,4.5,,3.33,4.2,4.17,4.33,5.0
30,,,,4.0,,,5.0,,,,,,4.5,4.5,,2.0,4.0,,,
31,2.42,3.5,,3.44,3.5,,,4.0,1.88,,,4.5,3.07,3.25,,5.0,4.0,,3.0,4.0
32,3.0,4.5,4.25,3.84,3.83,,4.25,4.78,3.38,,,1.0,4.0,3.78,,3.76,4.28,3.86,3.29,4.0
34,3.47,3.62,4.5,3.46,1.5,,5.0,4.25,1.7,,,2.75,3.76,3.0,,3.61,4.1,3.62,3.5,3.95
35,,,,3.33,5.0,,4.0,,,,,,2.5,,,4.0,4.0,,3.0,
36,3.5,4.17,3.33,3.58,3.67,,5.0,4.33,1.0,,,3.0,4.3,4.12,,4.29,4.08,4.0,4.07,4.42
37,,,,3.0,,,,,,,,,,,,,1.0,,,
38,3.0,,,1.0,,,,,,,,,,,,,,,,
39,2.89,4.5,3.25,3.39,2.25,1.0,,4.62,2.5,,,2.5,3.59,3.33,,3.62,4.1,4.04,3.79,4.29
40,3.0,,,,,,3.0,,,,,,,,,,5.0,4.25,4.0,
41,3.0,4.5,4.0,4.12,,,,,,,,,3.67,5.0,,3.75,4.5,4.0,,4.0
42,2.0,,,1.5,,,,,,,,,3.0,,,2.67,,2.0,,
43,2.75,4.0,,3.0,,,,5.0,,,,,4.0,,,4.0,4.0,4.0,3.0,
44,2.2,,,2.93,1.5,,,,1.75,,,,3.17,2.0,,3.12,4.0,3.0,1.5,
45,3.33,3.75,4.0,3.27,2.25,,4.0,,3.0,,,,4.0,4.0,,3.25,4.0,3.83,4.0,3.75
46,,3.0,,3.0,4.0,,3.5,,,,,2.0,5.0,,,3.0,,,1.0,3.5
47,3.25,4.12,4.8,3.82,3.0,,5.0,4.72,4.08,,,0.5,4.16,4.45,,3.82,4.39,4.2,3.73,4.42
48,2.72,4.0,2.0,2.23,,,4.0,4.12,,4.5,,2.75,2.65,2.83,,3.0,3.3,4.0,3.3,3.0
49,,,,,,,,,,,,,5.0,,,3.0,,,,
50,3.39,4.62,4.5,4.37,4.7,3.0,4.25,4.67,4.17,,,,4.33,4.65,,4.39,4.69,4.23,4.25,4.21
52,3.0,4.33,4.0,3.73,,,4.5,4.33,2.5,,,4.0,3.29,4.0,,3.6,4.2,2.75,3.5,3.0
53,,,,,,,,,,,,,,,,5.0,,,,
54,,,4.0,,,,,,,,,,,,,3.5,,,,
55,,,,4.0,,,,,,,,,4.0,1.0,,,4.0,,3.0,
57,2.5,,,3.0,,,,,,,,,3.67,,,,,3.5,3.0,
58,3.0,4.0,0.5,3.72,3.5,,,4.75,,,,,4.08,5.0,,3.5,4.31,4.33,4.5,5.0
59,,,,,,,,,,,,,5.0,,,,3.0,,,
60,2.25,3.0,2.0,3.0,2.5,,3.0,1.5,,,,,2.0,,,3.29,3.5,3.25,2.0,3.5
61,3.0,,,,,,,4.0,,,,,3.0,,,3.0,4.0,4.0,,4.0
62,3.21,4.0,3.88,3.42,3.0,,4.0,5.0,2.75,,,3.75,3.5,3.5,,3.8,4.6,3.83,3.33,3.5
63,,,,2.75,,,,4.0,,,,,1.75,,,,,4.0,,
64,,,2.0,2.67,,,,,,,,,2.0,,,,,3.0,2.0,3.0
65,0.83,1.0,3.0,2.25,,,,3.33,0.5,,,,3.5,0.5,,3.0,1.0,,1.0,2.0
66,2.0,,,2.0,,,,,,,,,1.0,,,4.0,1.0,,,
68,,3.0,3.0,3.33,,,,,,,,,4.0,,,,,,,
69,,,,3.62,2.5,,,,5.0,,,,4.25,3.0,,3.88,4.0,3.0,,5.0
70,3.0,,3.75,2.92,2.5,5.0,1.0,,1.83,,,,2.75,5.0,,3.42,3.33,3.25,1.0,3.0
71,1.0,,,,3.0,,,,,,,,2.0,,,,4.5,,1.0,
72,,,,3.5,,,,,2.5,,,,4.0,,,2.75,,,,
73,4.0,,4.0,3.0,,,5.0,5.0,,,,,3.62,4.0,,5.0,5.0,,,
74,2.5,,3.0,2.5,,,,5.0,,,,,2.62,,,4.0,,,2.0,3.0
76,,5.0,3.5,3.08,3.0,,,4.0,,,,,4.0,3.0,,3.5,2.0,,,
77,,,,,,,,,,,,,4.0,,,4.0,,,,
78,3.0,4.0,3.0,4.0,2.0,,,,,,,,4.0,,,2.0,4.0,,2.0,4.0
79,1.5,2.0,,2.6,4.5,,,4.33,,,,3.0,2.5,,,3.0,4.0,3.33,,2.0
80,,,,5.0,,,4.0,,,,,,4.5,,,,,,5.0,
81,3.0,4.0,,3.42,3.0,,,4.0,,,5.0,,3.0,,,3.0,3.0,3.0,2.0,
82,3.0,,,3.0,,,,4.5,5.0,,,,4.0,,,3.0,4.0,,,
83,3.0,,3.0,3.0,,,,,,,,,,,,,,,,
84,,,,,4.0,,,,,,,,,,,,,,,
85,,4.0,,3.6,,,5.0,,,,,,4.5,,,4.0,4.0,5.0,3.5,4.5
86,3.0,,,3.75,4.0,,,4.0,,,,,3.33,,,4.33,,4.67,,1.0
87,1.0,,3.0,,,,,,,,,,1.0,,,,,,,
88,2.25,,3.0,3.0,,,,3.75,1.5,,,,2.92,,,3.33,,3.5,,2.0
89,3.17,,3.0,4.0,,,3.0,4.0,,,,,3.33,,,3.0,4.0,4.0,2.0,
92,4.0,3.0,,3.0,,,,5.0,,,,,4.25,,,,,,4.0,
93,,,,3.0,,,1.0,,1.5,,,,2.5,,,3.0,,1.0,2.0,
94,4.0,,,4.17,,,,3.0,3.0,,,,3.6,,,3.0,3.67,3.0,,3.5
95,2.56,4.5,2.5,3.03,3.33,,3.5,4.25,2.33,,,3.0,3.19,4.0,,3.29,3.29,3.4,2.75,3.0
96,,,,,1.0,,,,,,,,,,,,,,,
97,4.0,,,4.25,3.0,,,,3.25,,,,4.0,,,,,,,5.0
98,,,,3.0,,,,,,,,,,,,,,,,
